children_in_household,weekly_hours_worked,age,household_income,birth_area,marital_status,sex,education,SOC,PUMA,ST,sex_male,sex_female,marital_married,marital_widowed,marital_divorced,marital_separated,marital_never,birth_us,birth_latin,birth_asia,birth_europe,birth_africa,birth_northern_america,birth_oceania,job_unemployed,job_management,job_business,job_technology,job_engineering,job_socialscience,job_community,job_legal,job_edu,job_art,job_healthtech,job_healthsupport,job_protect,job_foodprep,job_maintenance,job_personcare,job_sales,job_admin,job_farmfishforest,job_construction,job_installation,job_production,job_transport,college_educated
0,18,24,11000,7,5,2,22,434171,3810,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,35,59,96000,5,5,2,18,436011,3810,36,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,69,19200,1,5,1,18,N,3810,36,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,63,100000,5,1,1,16,119141,3810,36,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,63,100000,5,1,2,16,N,3810,36,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,71,87800,1,1,1,21,271024,3810,36,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,70,24000,1,2,1,21,273043,3810,36,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,40,31,219300,1,3,2,21,131161,3810,36,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,40,59,558800,1,1,2,19,1110XX,3810,36,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,59,558800,1,1,2,23,1110XX,3810,36,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
